n,z,betaMinusTwoNeutronEmission(keV)
112,71,-8455.792120000002
113,71,-6393.000120000001
114,71,-6819.089120000001
115,71,-4963.183119999998
116,71,-5592.832120000003
117,71,-3538.4221199999993
85,72,-31009.63612
86,72,-32244.035119999997
87,72,-29399.29412
88,72,-30963.383120000002
89,72,-28019.296120000003
90,72,-29487.36212
91,72,-26633.381120000002
92,72,-28179.58712
93,72,-25243.51512
94,72,-26718.82012
95,72,-23762.525119999995
96,72,-25405.41312
97,72,-22508.467119999998
98,72,-24002.58312
99,72,-21283.552120000004
100,72,-22407.198120000005
101,72,-19834.147119999998
102,72,-20657.236119999998
103,72,-18227.85612
104,72,-18978.29312
105,72,-16614.728120000003
106,72,-17212.62312
107,72,-14890.927119999997
108,72,-15324.112120000002
109,72,-13188.13812
110,72,-13258.641119999997
111,72,-10987.11912
112,72,-11211.404120000003
113,72,-9168.893119999997
114,72,-9727.397119999998
115,72,-7748.26512
116,72,-8365.03412
117,72,-6397.086119999996
118,72,-7032.636119999999
86,73,-30891.79312
87,73,-28273.336119999996
88,73,-29487.211119999996
89,73,-26594.968119999998
90,73,-28170.270119999997
91,73,-25426.224120000003
92,73,-27082.069120000004
93,73,-24004.861119999998
94,73,-25632.38412
95,73,-22649.078120000002
96,73,-24339.859119999997
97,73,-21387.376119999997
98,73,-22945.04912
99,73,-20181.815120000003
100,73,-21453.084119999996
101,73,-18786.21612
102,73,-19823.90112
103,73,-17280.92212
104,73,-18224.58112
105,73,-16099.028119999999
106,73,-16798.361119999998
107,73,-14669.201120000002
108,73,-15286.453119999995
109,73,-12937.078119999995
110,73,-13202.238119999998
111,73,-10735.94512
112,73,-11171.344119999998
113,73,-9044.785119999997
114,73,-9650.315120000003
115,73,-7544.03412
116,73,-8198.592119999998
117,73,-6194.756120000002
118,73,-6853.636119999999
119,73,-4873.804119999997
120,73,-5776.46012
121,73,-3652.636119999999
87,74,-31844.63612
88,74,-33263.85312
89,74,-30208.255119999998
90,74,-31925.19112
91,74,-29001.699119999997
92,74,-30557.666119999998
93,74,-27576.49512
94,74,-29198.23112
95,74,-26226.50212
96,74,-27638.551119999993
97,74,-24819.484119999997
98,74,-26335.83112
99,74,-23619.739119999995
100,74,-24802.89012
101,74,-22221.56612
102,74,-23111.143119999997
103,74,-20556.05512
104,74,-21486.81212
105,74,-19168.70812
106,74,-20125.42212
107,74,-17792.26912
108,74,-18551.416119999998
109,74,-15990.887120000003
110,74,-16401.94512
111,74,-13720.844119999998
112,74,-14431.419119999995
113,74,-12227.633120000002
114,74,-12883.196119999997
115,74,-10735.088119999997
116,74,-11494.588120000004
117,74,-9339.715119999997
118,74,-10179.62112
119,74,-7982.228119999996
120,74,-8963.808119999998
121,74,-6650.99512
122,74,-7622.636119999999
123,74,-5452.636119999999
88,75,-31948.88912
89,75,-29115.077119999998
90,75,-30465.98912
91,75,-27555.248119999997
92,75,-29229.63612
93,75,-26505.99912
94,75,-28053.02312
95,75,-25051.63712
96,75,-26669.937120000002
97,75,-23783.783119999996
98,75,-25399.268120000004
99,75,-22572.09612
100,75,-23992.698119999997
101,75,-21210.143119999997
102,75,-22306.45112
103,75,-19664.90912
104,75,-20770.50012
105,75,-18435.75712
106,75,-19639.911119999993
107,75,-17232.582120000003
108,75,-18402.33112
109,75,-15753.346120000006
110,75,-16297.923119999996
111,75,-13817.391119999997
112,75,-14553.276119999999
113,75,-12159.484119999997
114,75,-12902.718120000001
115,75,-10588.35012
116,75,-11506.242119999999
117,75,-9023.639120000003
118,75,-9979.038119999997
119,75,-7520.333119999999
120,75,-8308.235120000001
121,75,-6067.46012
122,75,-6981.040119999998
123,75,-4855.51312
124,75,-5792.636119999999
89,76,-32579.63612
90,76,-34091.16212
91,76,-31046.49612
92,76,-32831.63112
93,76,-29793.17212
94,76,-31402.098120000002
95,76,-28346.458119999996
96,76,-30204.277120000002
97,76,-27168.85612
98,76,-28758.64612
99,76,-25979.54012
100,76,-27487.88312
101,76,-24704.573119999997
102,76,-25804.95612
103,76,-23115.34812
104,76,-24244.520119999997
105,76,-21610.885120000003
106,76,-22774.215119999997
107,76,-20343.361119999998
108,76,-21343.51912
109,76,-18746.406120000003
110,76,-19531.813119999995
111,76,-17026.09312
112,76,-18107.58712
113,76,-15580.061120000002
114,76,-16505.506119999995
115,76,-14088.223119999999
116,76,-15271.325119999998
117,76,-12828.211119999996
118,76,-13742.181119999997
119,76,-11117.92712
120,76,-11887.983119999997
121,76,-9530.31812
122,76,-10307.114119999998
123,76,-8148.51312
124,76,-8982.63612
125,76,-6584.10212
126,76,-7102.636119999999
127,76,-3572.636119999999
90,77,-32897.08412
91,77,-30025.86612
92,77,-31483.05212
93,77,-28314.55812
94,77,-30090.666119999998
95,77,-27222.807119999998
96,77,-28944.523119999998
97,77,-25821.903120000003
98,77,-27600.389119999996
99,77,-24706.95112
100,77,-26481.37712
101,77,-23463.032119999996
102,77,-24853.918119999995
103,77,-22122.680119999997
104,77,-23337.544120000002
105,77,-20764.44312
106,77,-21963.277119999995
107,77,-19585.071120000004
108,77,-20704.997119999996
109,77,-17982.50012
110,77,-19003.86912
111,77,-16623.14412
112,77,-17906.927120000004
113,77,-15075.28012
114,77,-16382.057120000001
115,77,-13671.76312
116,77,-14980.605119999997
117,77,-12385.88712
118,77,-13355.277119999995
119,77,-10818.057119999998
120,77,-11612.881120000002
121,77,-9208.098119999999
122,77,-10121.395119999997
123,77,-7808.618119999999
124,77,-8593.936119999998
125,77,-6183.458119999999
126,77,-6771.9311199999975
127,77,-3020.5081199999986
128,77,-2232.636119999999
92,78,-34971.83812
93,78,-31821.20512
94,78,-33546.306119999994
95,78,-30517.09112
96,78,-32142.233119999997
97,78,-29019.30312
98,78,-31018.55412
99,78,-28109.38712
100,78,-29619.15512
101,78,-26865.02712
102,78,-28269.48212
103,78,-25535.561120000002
104,78,-26685.410119999997
105,78,-24044.69312
106,78,-25171.146119999998
107,78,-22639.29212
108,78,-23688.36912
109,78,-20969.847119999995
110,78,-22248.75012
111,78,-19583.26112
112,78,-21077.82512
113,78,-18259.014120000003
114,78,-19597.62112
115,78,-16824.40312
116,78,-18130.55312
117,78,-15531.685119999998
118,78,-16575.22412
119,78,-13995.35012
120,78,-14907.936119999998
121,78,-12391.58512
122,78,-13161.021119999998
123,78,-10789.58912
124,78,-11594.670119999999
125,78,-9251.931119999997
126,78,-9409.65412
127,78,-5819.19212
128,78,-4992.636119999999
129,78,-1712.6361199999992
130,78,-2452.636119999999
93,79,-30875.64712
94,79,-32313.65312
95,79,-29139.27512
96,79,-30885.32212
97,79,-28022.58612
98,79,-29718.92912
99,79,-26661.02612
100,79,-28355.38512
101,79,-25452.93612
102,79,-27080.85212
103,79,-24196.09912
104,79,-25672.99712
105,79,-22884.46512
106,79,-24196.131120000002
107,79,-21512.70512
108,79,-22987.765119999996
109,79,-19974.892119999997
110,79,-21606.08512
111,79,-18777.82512
112,79,-20314.168120000002
113,79,-17544.19512
114,79,-18955.61612
115,79,-16343.10512
116,79,-17647.53212
117,79,-15097.402119999999
118,79,-16269.045119999999
119,79,-13897.485120000001
120,79,-14696.15712
121,79,-12428.415120000001
122,79,-12997.275120000002
123,79,-10992.35112
124,79,-11623.55112
125,79,-9187.326119999998
126,79,-9443.433119999998
127,79,-5642.488119999998
128,79,-4494.917119999998
129,79,-1106.90812
130,79,-1885.1901199999993
131,79,-197.22811999999976
98,80,-33042.71012
99,80,-29735.45712
100,80,-31780.14912
101,80,-28534.13112
102,80,-30329.083119999996
103,80,-27148.54212
104,80,-29160.21012
105,80,-25739.026120000002
106,80,-27798.34012
107,80,-24503.40012
108,80,-26458.04712
109,80,-23324.42212
110,80,-25176.85812
111,80,-22118.380119999998
112,80,-23787.88112
113,80,-20921.85012
114,80,-22454.33912
115,80,-19678.76012
116,80,-21031.08212
117,80,-18527.575119999998
118,80,-19600.353119999996
119,80,-17334.480119999997
120,80,-18117.15012
121,80,-15745.768119999997
122,80,-16440.71912
123,80,-14231.061120000002
124,80,-14852.365119999999
125,80,-12669.046119999999
126,80,-12742.294119999999
127,80,-8809.28012
128,80,-7154.751119999997
129,80,-3718.2001199999977
130,80,-4692.51512
131,80,-2887.8431199999995
132,80,-3875.64012
133,80,-1864.6371199999994
134,80,-2821.636119999999
135,80,-816.4471199999989
136,80,-1687.6361199999992
99,81,-29106.44512
100,81,-30992.99312
101,81,-27528.78012
102,81,-29619.26612
103,81,-26201.43512
104,81,-28320.373119999997
105,81,-24973.99012
106,81,-27046.01712
107,81,-23798.142119999997
108,81,-25771.786119999997
109,81,-22697.84812
110,81,-24581.56812
111,81,-21598.27812
112,81,-23328.61112
113,81,-20528.288119999997
114,81,-22068.67312
115,81,-19431.36812
116,81,-20758.81912
117,81,-18323.15512
118,81,-19456.64812
119,81,-17122.42012
120,81,-18091.680119999997
121,81,-15872.19712
122,81,-16632.91212
123,81,-14548.098119999999
124,81,-15176.955119999999
125,81,-13286.114120000002
126,81,-13406.91012
127,81,-9107.251119999997
128,81,-7335.461119999998
129,81,-3641.113119999998
130,81,-4606.0611199999985
131,81,-2965.207119999999
132,81,-3865.813119999999
133,81,-2128.707119999999
134,81,-2909.0381199999993
135,81,-1089.617119999999
136,81,-1824.8811199999982
137,81,57.36388000000079
104,82,-32077.53312
105,82,-28893.591119999997
106,82,-30808.16312
107,82,-27603.38012
108,82,-29364.44312
109,82,-26369.215119999997
110,82,-28098.576119999998
111,82,-25132.540119999998
112,82,-26815.96512
113,82,-23996.112119999998
114,82,-25467.85012
115,82,-22862.45412
116,82,-24201.04712
117,82,-21687.17412
118,82,-23019.64312
119,82,-20616.053119999997
120,82,-21712.67012
121,82,-19500.113119999998
122,82,-20501.59712
123,82,-18387.90512
124,82,-19282.21512
125,82,-17529.03512
126,82,-17862.95412
127,82,-13702.65612
128,82,-12000.914119999998
129,82,-8377.05912
130,82,-8899.660119999999
131,82,-7487.118119999999
132,82,-8207.71212
133,82,-6568.720119999998
134,82,-7431.856119999999
135,82,-5511.90812
136,82,-6386.62412
137,82,-4252.599119999999
138,82,-5228.67412
105,83,-27438.96712
106,83,-29031.10812
107,83,-26194.16412
108,83,-27959.99112
109,83,-25114.46512
110,83,-26958.468119999998
111,83,-24099.17312
112,83,-25842.90112
113,83,-23147.051119999996
114,83,-24713.17712
115,83,-22047.75612
116,83,-23547.174120000003
117,83,-21039.932119999998
118,83,-22332.81312
119,83,-19951.807119999998
120,83,-21146.363119999998
121,83,-18846.99412
122,83,-19897.38612
123,83,-17829.792120000002
124,83,-18675.79212
125,83,-16824.11912
126,83,-17255.52512
127,83,-13465.334120000001
128,83,-11635.73712
129,83,-8307.51912
130,83,-8941.81512
131,83,-6974.00812
132,83,-7859.845119999998
133,83,-5798.67612
134,83,-6870.902119999999
135,83,-4708.934119999998
136,83,-5706.08812
137,83,-3539.2881199999993
138,83,-4623.99712
139,83,-2456.0981199999987
140,83,-3676.3931200000006
141,83,-1558.9041199999992
109,84,-28331.85112
110,84,-30072.99512
111,84,-27191.968119999998
112,84,-28894.877119999997
113,84,-26065.415119999998
114,84,-27702.73912
115,84,-25026.21012
116,84,-26375.57212
117,84,-23840.42512
118,84,-25096.31112
119,84,-22664.01412
120,84,-23888.575119999998
121,84,-21501.42712
122,84,-22456.05212
123,84,-20303.81712
124,84,-21172.45512
125,84,-19281.16912
126,84,-19625.79512
127,84,-15691.35512
128,84,-14539.945119999998
129,84,-11148.964119999999
130,84,-11984.45912
131,84,-10104.885119999999
132,84,-10981.149119999998
133,84,-9002.60112
134,84,-10042.662119999999
135,84,-7855.873119999998
136,84,-8979.39212
137,84,-6764.900119999998
138,84,-8032.116119999999
139,84,-5846.365119999999
140,84,-7185.664119999998
141,84,-4990.644120000001
142,84,-6304.654119999999
143,84,-4161.636119999999
110,85,-28655.85512
111,85,-25780.43512
112,85,-27548.17612
113,85,-24826.55212
114,85,-26476.38112
115,85,-23900.21012
116,85,-25372.23112
117,85,-22737.288119999997
118,85,-24197.83012
119,85,-21743.32712
120,85,-22943.110119999998
121,85,-20611.90912
122,85,-21660.35412
123,85,-19479.61912
124,85,-20391.66712
125,85,-18459.346120000002
126,85,-18848.77812
127,85,-15166.02112
128,85,-13966.828119999998
129,85,-10862.56812
130,85,-11703.27012
131,85,-9566.294119999999
132,85,-10579.04812
133,85,-8295.73012
134,85,-9405.181119999997
135,85,-6984.30112
136,85,-8189.244119999999
137,85,-5801.602120000001
138,85,-7185.982119999997
139,85,-4803.5751199999995
140,85,-6232.37412
141,85,-3927.734120000001
142,85,-5246.779119999999
143,85,-3009.8301199999987
144,85,-4138.471119999998
113,86,-27956.45012
114,86,-29720.788119999997
115,86,-27021.43712
116,86,-28550.77512
117,86,-25915.254119999998
118,86,-27214.28912
119,86,-24728.81212
120,86,-25882.862119999998
121,86,-23467.56212
122,86,-24551.166119999998
123,86,-22234.66412
124,86,-23082.47212
125,86,-21115.822119999997
126,86,-21458.34712
127,86,-17698.271119999998
128,86,-16946.30212
129,86,-13757.42712
130,86,-14930.99712
131,86,-12802.20712
132,86,-13896.24512
133,86,-11627.96212
134,86,-12590.08212
135,86,-10288.22112
136,86,-11253.01112
137,86,-9030.149119999998
138,86,-10075.641119999997
139,86,-7990.822120000001
140,86,-9144.056120000001
141,86,-7077.403119999999
142,86,-8419.70912
143,86,-6462.6811199999975
144,86,-7356.857119999997
145,86,-5260.889119999996
116,87,-27203.041119999998
117,87,-24610.22812
118,87,-26053.78312
119,87,-23450.59212
120,87,-24795.51012
121,87,-22373.17712
122,87,-23438.76812
123,87,-21214.07812
124,87,-22141.19012
125,87,-20101.47312
126,87,-20528.70512
127,87,-16902.200119999998
128,87,-16170.05612
129,87,-13264.35412
130,87,-14359.96812
131,87,-12374.662119999999
132,87,-13415.233119999999
133,87,-11305.860119999998
134,87,-12259.238119999998
135,87,-10036.62412
136,87,-10724.184119999998
137,87,-8714.227119999998
138,87,-9555.27912
139,87,-7447.929119999997
140,87,-8453.235120000001
141,87,-6425.991120000002
142,87,-7651.847120000002
143,87,-5596.0611199999985
144,87,-6624.024120000002
145,87,-4586.1081199999935
146,87,-5439.072119999993
119,88,-26735.33712
120,88,-27899.456120000003
121,88,-25430.62412
122,88,-26460.65112
123,88,-24155.65312
124,88,-25105.47812
125,88,-22940.56412
126,88,-23349.49612
127,88,-19751.67012
128,88,-19284.44212
129,88,-16283.650119999998
130,88,-17646.81612
131,88,-15451.10412
132,88,-16721.390119999996
133,88,-14748.312119999999
134,88,-15566.186119999998
135,88,-13440.439120000001
136,88,-13938.60112
137,88,-11974.647119999998
138,88,-12709.20812
139,88,-10602.47712
140,88,-11511.64312
141,88,-9430.188119999999
142,88,-10520.984120000001
143,88,-8616.084120000003
144,88,-9484.067119999996
145,88,-7571.427120000004
146,88,-8366.43012
147,88,-6320.673119999996
121,89,-24066.598120000002
122,89,-25394.15112
123,89,-22902.557119999998
124,89,-23878.00312
125,89,-21820.25012
126,89,-22232.19412
127,89,-18687.83212
128,89,-18361.74912
129,89,-15590.32812
130,89,-16778.86312
131,89,-14765.62812
132,89,-16074.36812
133,89,-14210.377120000001
134,89,-15257.507119999998
135,89,-13111.527119999999
136,89,-13890.733119999997
137,89,-11829.016119999997
138,89,-12603.31412
139,89,-10445.631120000002
140,89,-11257.459119999996
141,89,-9075.149120000002
142,89,-9965.300119999996
143,89,-7850.7251199999955
144,89,-8650.410120000004
145,89,-6748.151119999999
146,89,-7517.1181199999955
147,89,-5534.596119999998
148,89,-6140.39012
123,90,-26074.754119999998
124,90,-27044.22712
125,90,-24875.396119999998
126,90,-25303.99412
127,90,-21741.39312
128,90,-21599.68812
129,90,-18734.604119999996
130,90,-20102.666119999998
131,90,-17785.93312
132,90,-19217.99412
133,90,-17132.171120000003
134,90,-18211.41612
135,90,-16170.057120000001
136,90,-16807.338119999997
137,90,-14694.51712
138,90,-15405.337119999997
139,90,-13387.490119999999
140,90,-14203.723119999999
141,90,-12223.67312
142,90,-12869.469120000002
143,90,-10835.332120000003
144,90,-11476.22712
145,90,-9614.292120000002
146,90,-10226.30312
147,90,-8476.440119999996
148,90,-8951.591120000001
149,90,-7170.260120000003
126,91,-23977.20012
127,91,-20559.49712
128,91,-20530.413119999997
129,91,-17758.894119999997
130,91,-19063.65212
131,91,-17091.27512
132,91,-18325.018119999997
133,91,-16553.11912
134,91,-17831.27412
135,91,-15851.72612
136,91,-16684.26612
137,91,-14547.83412
138,91,-15290.822119999997
139,91,-13189.094119999998
140,91,-13928.918119999995
141,91,-11811.10412
142,91,-12459.178119999993
143,91,-10413.211119999996
144,91,-10772.846119999998
145,91,-8953.64012
146,91,-9533.794119999995
147,91,-7693.1751200000035
148,91,-8195.76912
149,91,-6440.368120000003
150,91,-6975.304119999997
129,92,-21059.59112
130,92,-22344.82412
131,92,-20007.35812
132,92,-21674.58712
133,92,-19429.218119999998
134,92,-20846.08712
135,92,-18715.70012
136,92,-19739.51212
137,92,-17511.03412
138,92,-18352.61912
139,92,-16138.062119999999
140,92,-16769.806119999997
141,92,-14847.211120000004
142,92,-15356.677119999997
143,92,-13172.385120000003
144,92,-13652.860119999994
145,92,-11795.54712
146,92,-12212.998119999993
147,92,-10441.567120000003
148,92,-10881.736119999998
149,92,-9256.641119999997
150,92,-9838.865119999999
151,92,-7977.751119999997
130,93,-21414.05312
131,93,-19170.38812
132,93,-20645.538119999997
133,93,-18605.75912
134,93,-19863.61812
135,93,-17947.63612
136,93,-19111.258120000002
137,93,-17013.830120000002
138,93,-17913.874119999997
139,93,-15715.806119999997
140,93,-16502.682119999994
141,93,-14548.745120000003
142,93,-15151.42812
143,93,-13114.528119999999
144,93,-13453.383119999995
145,93,-11589.54712
146,93,-11923.293119999998
147,93,-9989.55512
148,93,-10415.741120000002
149,93,-8851.079120000006
150,93,-9291.751119999997
151,93,-7619.512119999996
152,93,-8047.197120000001
131,94,-22542.63612
132,94,-23772.63612
133,94,-21762.63612
134,94,-23004.827119999998
135,94,-20927.71212
136,94,-22060.46612
137,94,-20014.47312
138,94,-20653.72112
139,94,-18500.800119999996
140,94,-19212.650120000002
141,94,-17245.29012
142,94,-17703.128119999998
143,94,-15675.576120000002
144,94,-16020.488119999998
145,94,-14124.416119999998
146,94,-14438.738119999998
147,94,-12577.881120000002
148,94,-12935.870120000003
149,94,-11322.410119999997
150,94,-11804.629120000001
151,94,-10139.468119999994
152,94,-10626.999120000004
153,94,-8833.05312
138,95,-20127.63612
139,95,-18013.63612
140,95,-18811.374119999997
141,95,-16824.04712
142,95,-17585.63612
143,95,-15574.035119999997
144,95,-15999.427119999997
145,95,-14077.72912
146,95,-14355.26312
147,95,-12398.844119999998
148,95,-12669.401119999999
149,95,-11067.200119999998
150,95,-11424.15512
151,95,-9600.471119999998
152,95,-9994.160119999997
153,95,-8196.548119999996
154,95,-8571.741120000002
139,96,-20900.63612
140,96,-21684.81612
141,96,-19665.48512
142,96,-20239.433119999998
143,96,-18205.67412
144,96,-18634.414119999998
145,96,-16690.866120000002
146,96,-17002.93712
147,96,-14941.700119999998
148,96,-15442.80112
149,96,-13827.741120000002
150,96,-14239.54912
151,96,-12423.307119999994
152,96,-12716.800119999989
153,96,-10881.461120000004
154,96,-11284.101119999996
155,96,-9340.988119999998
156,96,-10038.642119999993
142,97,-19830.891119999997
143,97,-17756.63612
144,97,-18363.63612
145,97,-16379.355119999997
146,97,-16780.00712
147,97,-14815.793120000006
148,97,-15318.860120000001
149,97,-13653.82012
150,97,-14038.266119999997
151,97,-12101.811120000002
152,97,-12405.695120000008
153,97,-10428.581120000006
154,97,-10637.388119999992
155,97,-8777.972119999995
156,97,-9348.617119999999
157,97,-7784.24612
143,98,-20445.63612
144,98,-20980.654119999996
145,98,-19045.63612
146,98,-19465.54012
147,98,-17504.48512
148,98,-18078.408119999996
149,98,-16348.244119999992
150,98,-16723.487119999994
151,98,-14998.296120000003
152,98,-15271.300120000004
153,98,-13182.65512
154,98,-13333.026119999999
155,98,-11352.62112
156,98,-12095.851119999996
157,98,-10344.122120000004
158,98,-11095.787119999997
144,99,-20615.63612
145,99,-18516.63612
146,99,-19143.63612
147,99,-17287.834120000003
148,99,-17756.243120000003
149,99,-16034.823120000005
150,99,-16639.63612
151,99,-14815.429120000004
152,99,-15150.23211999999
153,99,-12920.219119999998
154,99,-13090.95812
155,99,-10965.096120000006
156,99,-11398.948120000005
157,99,-9860.157119999993
158,99,-10540.101119999996
159,99,-8925.432120000001
146,100,-21548.449119999994
147,100,-19795.63612
148,100,-20359.843119999994
149,100,-18559.493120000003
150,100,-19018.44312
151,100,-17364.78012
152,100,-17725.165119999994
153,100,-15763.836119999996
154,100,-15707.233120000008
155,100,-13515.171120000003
156,100,-14110.840119999997
157,100,-12394.56812
158,100,-13172.63612
159,100,-11431.108119999994
160,100,-12066.986120000005
149,101,-18432.49612
150,101,-18962.887120000003
151,101,-17241.518119999997
152,101,-17818.63612
153,101,-15561.006119999995
154,101,-15659.263119999992
155,101,-13409.948120000005
156,101,-13962.098119999999
157,101,-12275.332119999995
158,101,-12825.700119999998
159,101,-11069.63612
160,101,-11644.017119999993
161,101,-10085.63612
151,102,-19613.940120000003
152,102,-19956.324119999994
153,102,-17854.17312000001
154,102,-17965.47712
155,102,-15842.877119999994
156,102,-16412.239120000002
157,102,-14728.255120000005
158,102,-15314.63612
159,102,-13538.63612
160,102,-14318.63612
161,102,-12570.63612
162,102,-13236.63612
152,103,-19837.331120000006
153,103,-17597.033119999996
154,103,-17806.63612
155,103,-15582.628119999998
156,103,-16158.025119999995
157,103,-14209.974120000003
158,103,-14952.63612
159,103,-13185.63612
160,103,-13791.869119999992
161,103,-12159.63612
162,103,-12666.63612
163,103,-10555.63612
153,104,-19871.247120000004
154,104,-20096.298119999996
155,104,-17929.921120000003
156,104,-18502.339119999993
157,104,-16815.42412
158,104,-17423.63612
159,104,-15693.63612
160,104,-16320.63612
161,104,-14562.63612
162,104,-15268.63612
163,104,-13080.63612
164,104,-13406.63612
155,105,-17765.63612
156,105,-18353.63612
157,105,-16437.131119999995
158,105,-17037.64012
159,105,-15249.70812
160,105,-15955.63612
161,105,-14185.63612
162,105,-14922.63612
163,105,-12699.63612
164,105,-12800.63612
165,105,-10545.63612
156,106,-20896.56412
157,106,-19027.046120000003
158,106,-19611.755120000005
159,106,-17844.63612
160,106,-18483.63612
161,106,-16731.63612
162,106,-17446.63612
163,106,-15215.63612
164,106,-15418.63612
165,106,-13002.63612
166,106,-13852.63612
167,106,-12081.63612
158,107,-19425.63612
159,107,-17601.801119999993
160,107,-18277.881119999995
161,107,-16575.311120000002
162,107,-17323.63612
163,107,-14880.63612
164,107,-14776.63612
165,107,-12467.63612
166,107,-13150.63612
167,107,-11384.63612
168,107,-12129.63612
169,107,-10598.63612
170,107,-11534.63612
171,107,-9957.63612
159,108,-20108.63612
160,108,-20847.317119999996
161,108,-19440.63612
162,108,-20181.63612
163,108,-17751.63612
164,108,-17847.63612
165,108,-15475.63612
166,108,-16217.63612
167,108,-14432.63612
168,108,-15206.63612
169,108,-13534.63612
170,108,-14234.63612
171,108,-12650.63612
172,108,-13489.63612
160,109,-20722.63612
161,109,-19081.63612
162,109,-19877.30712
163,109,-17343.22012
164,109,-17312.63612
165,109,-14976.63612
166,109,-15660.63612
167,109,-14027.63612
168,109,-14800.63612
169,109,-12914.63612
170,109,-13649.63612
171,109,-11883.63612
172,109,-12766.63612
173,109,-11007.63612
164,110,-19718.63612
165,110,-17361.63612
166,110,-18215.63612
167,110,-16445.63612
168,110,-17277.63612
169,110,-15525.63612
170,110,-16343.63612
171,110,-14590.63612
172,110,-15238.63612
173,110,-13645.63612
174,110,-14424.63612
167,111,-15981.63612
168,111,-16753.63612
169,111,-15098.63612
170,111,-15830.63612
171,111,-14054.63612
172,111,-14709.63612
173,111,-12998.63612
174,111,-13749.63612
175,111,-12047.63612
168,112,-19518.63612
169,112,-17655.63612
170,112,-18556.63612
171,112,-16615.63612
172,112,-17456.63612
173,112,-15619.63612
174,112,-16283.63612
175,112,-14540.63612
176,112,-15169.63612
173,113,-14964.63612
174,113,-15619.63612
175,113,-13778.63612
176,113,-14521.63612
177,113,-12744.63612
175,114,-16425.63612
176,114,-17077.63612
177,114,-15325.63612
176,115,-16419.63612
177,115,-14570.63612
177,116,-17227.63612
